 United Arab Emirates,Abu Dhabi
 Nigeria,Abuja
 Ghana,Accra
 Pitcairn Islands,Adamstown
 Ethiopia,Addis Ababa
 Algeria,Algiers
 Niue,Alofi
 Jordan,Amman
 Netherlands,Amsterdam
 Andorra,Andorra la Vella
 Turkey,Ankara
 Madagascar,Antananarivo
 Samoa,Apia
 Turkmenistan,Ashgabat
 Eritrea,Asmara
 Kazakhstan,Astana
 Paraguay,Asunción
 Greece,Athens
 Cook Islands,Avarua
 Iraq,Baghdad
 Azerbaijan,Baku
 Mali,Bamako
 Brunei,Bandar Seri Begawan
 Thailand,Bangkok
 Central African Republic,Bangui
 Gambia,Banjul
 Saint Kitts and Nevis,Basseterre
 China,Beijing
 Lebanon,Beirut
 Serbia,Belgrade
 Belize,Belmopan
 Germany,Berlin
  Switzerland,Bern
 Kyrgyzstan,Bishkek
 Guinea-Bissau,Bissau
 Colombia,Bogotá
 Brazil,Brasília
 Slovakia,Bratislava
 Republic of the Congo,Brazzaville
 Barbados,Bridgetown
 Belgium,Brussels
 Romania,Bucharest
 Hungary,Budapest
 Argentina,Buenos Aires
 Burundi,Bujumbura
 Egypt,Cairo
 Australia,Canberra
 Venezuela,Caracas
 Saint Lucia,Castries
 French Guiana,Cayenne
 United States Virgin Islands,Charlotte Amalie
 Moldova,Chisinau
 Turks and Caicos Islands,Cockburn Town
 Guinea,Conakry
 Denmark,Copenhagen
 Senegal,Dakar
 Syria,Damascus
 Bangladesh,Dhaka
 East Timor (Timor-Leste),Dili
 Djibouti,Djibouti
 Tanzania,Dodoma (official)
,Dar es Salaam (former capital; some government offices remaining)
 Qatar,Doha
 Isle of Man,Douglas
 Ireland,Dublin
 Tajikistan,Dushanbe
 Tristan da Cunha,Edinburgh of the Seven Seas
 Sahrawi Arab Democratic Republic ,El Aaiún (declared)
 Akrotiri and Dhekelia,Episkopi Cantonment
 Christmas Island,Flying Fish Cove
 Sierra Leone,Freetown
 Tuvalu,Funafuti
 Botswana,Gaborone
 Cayman Islands,George Town
 Ascension Island,Georgetown
 Guyana,Georgetown
 Gibraltar,Gibraltar
 South Georgia and the South Sandwich Islands,Grytviken
 Guatemala,Guatemala City
 Saint Barthélemy,Gustavia
 Guam,Hagåtña
 Bermuda,Hamilton
 Easter Island,Hanga Roa
 Vietnam,Hanoi
 Zimbabwe,Harare
 Somaliland,Hargeisa
 Cuba,Havana
 Finland,Helsinki
 Solomon Islands,Honiara
 Pakistan,Islamabad
 Indonesia,Jakarta
 Saint Helena,Jamestown
 Israel,"Jerusalem (declared, de facto)"
 State of Palestine,Jerusalem (declared)
