SNo	Country	Capital City	Notes
1	 United Arab Emirates	Abu Dhabi	
2	 Nigeria	Abuja	
3	 Ghana	Accra	
4	 Pitcairn Islands	Adamstown	British Overseas Territory
5	 Ethiopia	Addis Ababa	
6	 Algeria	Algiers	
7	 Niue	Alofi	Self-governing in free association with New Zealand.
8	 Jordan	Amman	
9	 Netherlands	Amsterdam	"The Dutch constitution refers to Amsterdam as the ""capital"". The Dutch government is located in The Hague. See Capital of the Netherlands."
10	 Andorra	Andorra la Vella	
11	 Turkey	Ankara	
12	 Madagascar	Antananarivo	
13	 Samoa	Apia	
14	 Turkmenistan	Ashgabat	
15	 Eritrea	Asmara	
16	 Kazakhstan	Astana	
17	 Paraguay	Asunción	
18	 Greece	Athens	
19	 Cook Islands	Avarua	Self-governing in free association with New Zealand.
20	 Iraq	Baghdad	
21	 Azerbaijan	Baku	
22	 Mali	Bamako	
23	 Brunei	Bandar Seri Begawan	
24	 Thailand	Bangkok	
25	 Central African Republic	Bangui	
26	 Gambia	Banjul	
27	 Saint Kitts and Nevis	Basseterre	
28	 China	Beijing	See also: List of historical capitals of China
29	 Lebanon	Beirut	
30	 Serbia	Belgrade	
31	 Belize	Belmopan	
32	 Germany	Berlin	
33	  Switzerland	Bern	
34	 Kyrgyzstan	Bishkek	
35	 Guinea-Bissau	Bissau	
36	 Colombia	Bogotá	
37	 Brazil	Brasília	
38	 Slovakia	Bratislava	
39	 Republic of the Congo	Brazzaville	
40	 Barbados	Bridgetown	
41	 Belgium	Brussels	Also the de facto capital of the  European Union
42	 Romania	Bucharest	
43	 Hungary	Budapest	
44	 Argentina	Buenos Aires	
45	 Burundi	Bujumbura	
46	 Egypt	Cairo	
47	 Australia	Canberra	
48	 Venezuela	Caracas	
49	 Saint Lucia	Castries	
50	 French Guiana	Cayenne	Overseas department of France
51	 United States Virgin Islands	Charlotte Amalie	Territory of the United States
52	 Moldova	Chisinau	
53	 Turks and Caicos Islands	Cockburn Town	British Overseas Territory
54	 Guinea	Conakry	
55	 Denmark	Copenhagen	
56	 Senegal	Dakar	
57	 Syria	Damascus	
58	 Bangladesh	Dhaka	
59	 East Timor (Timor-Leste)	Dili	
60	 Djibouti	Djibouti	
61	 Tanzania	Dodoma (official)	
		Dar es Salaam (former capital; some government offices remaining)	
62	 Qatar	Doha	
63	 Isle of Man	Douglas	British Crown Dependency
64	 Ireland	Dublin	
65	 Tajikistan	Dushanbe	
66	 Tristan da Cunha	Edinburgh of the Seven Seas	"Part of the British Overseas Territory of Saint Helena, Ascension and Tristan da Cunha"
67	 Sahrawi Arab Democratic Republic 	El Aaiún (declared)	"The Sahrawi Republic, recognised by 82 states, claims the mostly Moroccan controlled Western Sahara. Moroccan controlled territory includes El Aaiún, and Morocco claims all Sahrawi controlled territory. The Sahrawi government resides in exile in Tindouf, Algeria. See Politics of the Sahrawi Arab Democratic Republic."
68	 Akrotiri and Dhekelia	Episkopi Cantonment	British Overseas Territory
69	 Christmas Island	Flying Fish Cove	External territory of Australia
70	 Sierra Leone	Freetown	
71	 Tuvalu	Funafuti	
72	 Botswana	Gaborone	
