George Washington,John Adams
John Adams,Thomas Jefferson
Thomas Jefferson,Aaron Burr and George Clinton
James Madison,George Clinton and Elbridge Gerry
James Monroe,Daniel Tompkins
John Quincy Adams,John C. Calhoun
Andrew Jackson,John C. Calhoun and Martin Van Buren
Martin Van Buren,Richard Mentor Johnson
William H. Harrison,John Tyler
James K. Polk,George M. Dallas
Zachary Taylor,Millard Fillmore
Franklin Pierce,William R. King
James Buchanan,John C. Breckinridge
Abraham Lincoln,Hannibal Hamlin
Ulysses S. Grant,Schuyler Colfax and Henry Wilson
Rutherford B. Hayes,William A. Wheeler
James A. Garfield,Chester A. Arthur
Grover Cleveland,Thomas A. Hendricks
Benjamin Harrison,Levi P. Morton
Grover Cleveland,Adlai Stevenson
William McKinley,Garret Hobart and Theodore Roosevelt
Theodore Roosevelt,Charles W. Fairbanks
William H. Taft,James S. Sherman
Woodrow Wilson,Thomas R. Marshall
Warren G. Harding,Calvin Coolidge
Calvin Coolidge,Charles G. Dawes
Herbert Hoover,Charles Curtis
Franklin D. Roosevelt,John Nance Garner and Henry A. Wallace and Harry S. Truman
Harry S. Truman,Alben W. Barkley
Dwight D. Eisenhower,Richard Nixon
John F. Kennedy,Lyndon B. Johnson
Lyndon B. Johnson,Hubert Humphrey
Richard M. Nixon,Spiro Agnew and Gerald Ford
Gerald R. Ford,Nelson Rockefeller
Jimmy Carter,Walter Mondale
Ronald Reagan,George H.W. Bush
George H. W. Bush,Dan Quayle
Bill Clinton,Al Gore
George W. Bush,Dick Cheney
Barack Hussein Obama,Joe Biden
